observations,centile,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
34,0.25,AnnArbor_b_sub43409,2.1297555583187173,2.1645502532650864,2.0068193318368928,2.3596180322655833,2.286029114330265
34,0.5,AnnArbor_b_sub43409,2.266976147716597,2.2880918574468874,2.130427398024856,2.456851515685905,2.4542220435540933
34,0.75,AnnArbor_b_sub43409,2.404196737114477,2.4116334616286887,2.2540354642128175,2.554084999106228,2.6224149727779213
34,0.95,AnnArbor_b_sub43409,2.601611009251417,2.589368275151922,2.431865894207518,2.6939712759469754,2.864388023957768
35,0.05,AnnArbor_b_sub45569,2.0367181215864845,1.950047130822843,1.9214776660644604,2.2441640526125997,2.222522155466763
35,0.25,AnnArbor_b_sub45569,2.207882701508666,2.1375631911499746,2.0564534119058746,2.382247923208782,2.4145232296145984
35,0.5,AnnArbor_b_sub45569,2.3268574052457374,2.2679036373655785,2.150273636747214,2.4782285729583844,2.547981161882616
35,0.75,AnnArbor_b_sub45569,2.445832108982809,2.398244083581181,2.244093861588553,2.574209222707987,2.681439094150634
35,0.95,AnnArbor_b_sub45569,2.6169966889049894,2.585760143908313,2.3790696074299658,2.7122930933041682,2.873440168298469
36,0.05,AnnArbor_b_sub50859,1.8182034514887602,2.010343412141082,1.5685537500802869,2.0729526970344896,1.842585439225124
36,0.25,AnnArbor_b_sub50859,2.0389808487624523,2.1554370662659945,1.8509493404278576,2.2221996888851567,2.168167468681278
36,0.5,AnnArbor_b_sub50859,2.1924409013295274,2.2562901430035356,2.047239552535602,2.3259397071012797,2.3944761215244763
36,0.75,AnnArbor_b_sub50859,2.345900953896602,2.357143219741076,2.2435297646433474,2.4296797253174023,2.620784774367673
36,0.95,AnnArbor_b_sub50859,2.5666783511702924,2.5022368738659893,2.5259253549909197,2.578926717168068,2.946366803823827
37,0.05,AnnArbor_b_sub53269,2.2026287783862344,1.9808017552408022,2.0188405234838234,2.395257529534879,2.375047237816601
37,0.25,AnnArbor_b_sub53269,2.364395241307639,2.135253786964001,2.1619458057633567,2.5543721909280523,2.571016664765701
37,0.5,AnnArbor_b_sub53269,2.4768374125174666,2.2426117737870395,2.2614167860921035,2.664971122716884,2.707232957432052
37,0.75,AnnArbor_b_sub53269,2.5892795837272944,2.3499697606100773,2.36088776642085,2.775570054505716,2.843449250098404
37,0.95,AnnArbor_b_sub53269,2.7510460466487,2.5044217923332757,2.5039930487003823,2.9346847158988907,3.0394186770475047
38,0.05,AnnArbor_b_sub53959,2.214220418670577,1.9837530781023105,2.024405573852277,2.4048235739374206,2.387711085279142
38,0.25,AnnArbor_b_sub53959,2.377832858656655,2.139438847260288,2.1682754283424672,2.5649012694593996,2.5869014311884384
38,0.5,AnnArbor_b_sub53959,2.491558149157138,2.2476543920305305,2.2682778547933613,2.676169596167527,2.72535655083187
38,0.75,AnnArbor_b_sub53959,2.6052834396576205,2.3558699368007736,2.368280281244255,2.7874379228756543,2.863811670475302
38,0.95,AnnArbor_b_sub53959,2.768895879643699,2.5115557059587506,2.5121501357344456,2.9475156183976337,3.0630020163845995
39,0.05,AnnArbor_b_sub57025,1.9769644311887111,1.9648193873576392,1.8816144240308967,2.222699710967458,2.141053878555314
39,0.25,AnnArbor_b_sub57025,2.163330722411394,2.149730904408593,2.034919587700075,2.3604327358443866,2.358222568383415
39,0.5,AnnArbor_b_sub57025,2.292871976185254,2.278260959918393,2.141480398571087,2.456169516415422,2.5091742462656823
39,0.75,AnnArbor_b_sub57025,2.4224132299591146,2.406791015428192,2.248041209442098,2.5519062969864588,2.6601259241479482
39,0.95,AnnArbor_b_sub57025,2.608779521181796,2.5917025324791445,2.4013463731112754,2.6896393218633876,2.877294613976052
40,0.05,AnnArbor_b_sub57196,1.8524629504010064,2.004026369539262,1.6524701506364554,2.113996664724874,1.9019865141815244
40,0.25,AnnArbor_b_sub57196,2.069594527790557,2.1583675181395723,1.9061537119458871,2.2609521484293116,2.207021545324197
40,0.5,AnnArbor_b_sub57196,2.220520409206149,2.2656484312672163,2.082486493900411,2.363099363374265,2.419048195207763
40,0.75,AnnArbor_b_sub57196,2.371446290621741,2.372929344394861,2.258819275854933,2.4652465783192175,2.6310748450913275
40,0.95,AnnArbor_b_sub57196,2.5885778680112908,2.527270492995171,2.512502837164367,2.6122020620236546,2.936109876233998
