observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
127,Beijing_Zang_sub00440,-1.423168273466075,-1.7524129350003237,-0.7854367709788888,-0.8106772646749394,-1.1034110078131287
128,Beijing_Zang_sub01018,-0.8834512643037488,-3.2712683022216607,-0.7644828662047202,-1.3833854060037865,-1.4440749936815307
129,Beijing_Zang_sub01244,-0.8805784401219924,-0.8474711072646863,-0.69674954464664,-0.8889525756145125,-0.7478497483919431
130,Beijing_Zang_sub02403,-0.8837813554529056,-1.3172605833893332,-0.837944767351018,-2.3313187737786207,-1.082690707482383
131,Beijing_Zang_sub04050,-4.804440541821804,-1.6194927032717898,-0.9609672689317922,-3.3935667606419107,-1.5092723079337478
132,Beijing_Zang_sub04191,-1.7053572483297894,-0.9482409167608944,-0.6629089918489955,-1.3228509747742627,-0.759724458472648
133,Beijing_Zang_sub05267,-0.8295934808452102,-0.9004797040240788,-0.7526278982909813,-1.335364709203289,-0.865669817381801
134,Beijing_Zang_sub06880,-1.2027031693560153,-1.7299068338733186,-0.8410363626451897,-0.8354294839996463,-1.9546001895768452
135,Beijing_Zang_sub06899,-1.3892514884996143,-1.1205637976355578,-2.1786662362729263,-0.8324955452862862,-1.4276213908388091
136,Beijing_Zang_sub07144,-0.8202252642764203,-1.4177400050135427,-1.8590218362720006,-0.8257274989862369,-1.079216624254218
137,Beijing_Zang_sub07716,-0.8304168499933683,-0.940173118171463,-3.1596691004868704,-0.8057894928121481,-0.8385741349964737
138,Beijing_Zang_sub07717,-0.7699746665070928,-1.1507141025003293,-0.7661230401516592,-1.6469217603531983,-1.0589295644959142
139,Beijing_Zang_sub08001,-0.807936633099354,-2.4814052704371186,-0.749899516015161,-4.754836735797175,-0.974446469778774
140,Beijing_Zang_sub08251,-0.8239613974496345,-0.9264943940526776,-3.5649507432898795,-0.8756974125385196,-0.9294891598693942
141,Beijing_Zang_sub08455,-1.3186956342208656,-1.2337048575762746,-1.6077853737224133,-2.402198177688665,-5.091037315986893
142,Beijing_Zang_sub08816,-2.6210646259069676,-0.8707922307793329,-0.8888914561532162,-0.8842153372303109,-0.8213396739077695
143,Beijing_Zang_sub08992,-1.7020684269067208,-1.007351632335519,-0.7020135669654541,-1.1117835017874935,-0.8284767434699724
144,Beijing_Zang_sub10186,-0.825228003717671,-0.9202766884271644,-1.385824306404595,-3.3598648015748336,-0.877729545091418
145,Beijing_Zang_sub10277,-0.8296267277580097,-2.5181960296777097,-3.499483356478427,-1.1815051475718426,-1.033813683050327
146,Beijing_Zang_sub10869,-0.9046381554317628,-1.224022498502419,-0.7019830481600481,-0.8048046660901935,-1.0751250262629366
147,Beijing_Zang_sub10973,-1.0868967209465352,-0.9661759259197371,-0.7625272831890286,-1.0256975569547884,-1.758136792453378
148,Beijing_Zang_sub11072,-0.7510908311248765,-1.1554921363481305,-0.8594645502690388,-3.1817946174671397,-0.8056815053731228
149,Beijing_Zang_sub11344,-0.8093812380207229,-1.099903038926899,-0.8583769677921373,-3.2297992411287364,-1.6124330534845703
150,Beijing_Zang_sub12220,-1.1353576862058359,-2.7499129365647774,-3.0055990486007467,-1.6232497141859654,-3.59794401835511
151,Beijing_Zang_sub14238,-0.7939892452139464,-0.9588763781356555,-0.8083778413909471,-1.247639783485971,-0.8988132304956206
152,Beijing_Zang_sub15441,-0.8049037522447635,-0.9134954510137143,-0.695723967641464,-1.4527439365025163,-1.0521227545647505
153,Beijing_Zang_sub16091,-0.762081381221607,-1.9476513454523003,-10.7119059262606,-1.8870200373252215,-1.62465677416521
154,Beijing_Zang_sub16943,-0.8018695098629102,-0.8460808441969135,-1.5935751298354675,-0.8215317422060753,-1.2718501806544222
155,Beijing_Zang_sub17093,-1.6383978319358015,-1.1557306995087782,-2.28885955410397,-1.0471755977606994,-2.1635428932965595
156,Beijing_Zang_sub17159,-0.8434643308260305,-0.9500174681447053,-0.7581584612948752,-0.8745251187629605,-0.8739542962346585
157,Beijing_Zang_sub17315,-1.3023994372689012,-1.8110083000520656,-1.193199204048882,-0.8945316863989204,-2.0812303947820943
158,Beijing_Zang_sub17586,-1.1587392977983497,-1.7132451676978229,-0.9777748546971362,-1.5887113761966685,-1.1562587394938488
159,Beijing_Zang_sub17603,-0.9032292890183944,-1.1144082600884522,-0.6709536560182137,-0.9651472842789696,-1.0104948252587949
160,Beijing_Zang_sub17642,-2.337195842253819,-3.893791975120757,-0.6699956685231896,-1.542583858336831,-1.3355812768906727
161,Beijing_Zang_sub17688,-0.8712284834102774,-1.74164071922097,-1.7496418668959943,-1.6154166337219968,-0.8462968045025353
162,Beijing_Zang_sub18326,-0.9956996273290191,-0.8562268623535763,-0.8379634941337849,-1.0952948221532424,-0.81537920728533
163,Beijing_Zang_sub18758,-1.1387762080571808,-0.8603789291068774,-1.2426272424300082,-1.0016374264718835,-0.9270838766437801
164,Beijing_Zang_sub18960,-2.18236146062841,-1.242544634372821,-0.7659759808794316,-1.4228532192670573,-1.5822339625544928
165,Beijing_Zang_sub19642,-2.748648155985588,-1.2176476128684488,-0.7020779638634145,-0.8714951392369856,-1.2107581313575064
166,Beijing_Zang_sub19974,-0.7825126203841114,-0.9514791805857387,-1.045245739792403,-1.5427185650711892,-0.8136163278299606
167,Beijing_Zang_sub20127,-2.4853691022869238,-1.3088944976991803,-0.7200842537635379,-2.3149681188668496,-1.9577533641456244
168,Beijing_Zang_sub20246,-0.8685089028104246,-0.863537952655631,-0.7148922593179652,-1.0216655285843406,-1.3942501135842615
169,Beijing_Zang_sub20765,-1.6121883842771527,-0.9188231896234547,-0.8118506694145361,-0.8238429246117915,-1.169395073496218
170,Beijing_Zang_sub20948,-1.9449159334275201,-0.9819617528823532,-1.0928963189980538,-2.4683783459224844,-1.348250403136921
171,Beijing_Zang_sub21115,-1.413261445863119,-0.9515207713929834,-1.8852376944160862,-0.8443158852486804,-0.8206979493967979
172,Beijing_Zang_sub22201,-0.8126901239963648,-0.9147190484434566,-0.7175907741675203,-0.91766731531267,-0.9256056174532147
173,Beijing_Zang_sub22595,-0.7865372609220387,-1.4507884580450725,-0.7371161213465298,-1.1082137592847945,-2.4435084497306283
174,Beijing_Zang_sub22661,-0.8434348560577314,-0.8883635250310382,-0.6745804767250998,-0.9503219434443609,-1.6640806869088522
175,Beijing_Zang_sub22715,-1.5240360221579579,-2.226470687853092,-2.225535715386336,-0.8502040695288218,-1.0650609842721637
176,Beijing_Zang_sub22890,-0.8562912491262784,-0.9244241499547183,-0.8513948355732692,-1.799186340625327,-0.9796741430596703
177,Beijing_Zang_sub26713,-1.0823852197083264,-1.5887446161448358,-0.8412483010463253,-1.0178838601138853,-1.1234485058195232
178,Beijing_Zang_sub28206,-0.816542008816661,-1.3677178474601015,-0.7405589637579072,-1.1945742784488225,-0.8704940251759444
179,Beijing_Zang_sub28403,-0.8128103409940775,-5.924859973887941,-1.7178587179190383,-1.1191411071014519,-0.8384832290486838
180,Beijing_Zang_sub28698,-1.0877281587431609,-1.1484324015385892,-0.6918878234655346,-1.1217130689954111,-1.4954452508002232
181,Beijing_Zang_sub28792,-0.7919023988904026,-0.8659572210309224,-1.6887728637041295,-1.8847224030027145,-0.9476530316046721
182,Beijing_Zang_sub28801,-0.780581701646536,-0.8485647566618225,-1.1750175669911687,-1.5826218708574031,-1.212399615255245
183,Beijing_Zang_sub28907,-0.8497262871666449,-1.7444111916108473,-0.7963908808885217,-0.8212150500479927,-1.5058586353812797
184,Beijing_Zang_sub28965,-0.9959021755199526,-2.288097229717269,-0.7403264083041352,-0.8281247911022502,-1.0523663084126924
185,Beijing_Zang_sub29590,-0.779934651424895,-1.0911841714070465,-1.341686018084718,-1.7304962252686333,-0.8617192837521868
186,Beijing_Zang_sub29785,-0.8407273000391055,-3.6504787925969624,-0.8888550766071419,-0.8154306003888645,-0.8075493387502551
187,Beijing_Zang_sub30272,-0.8190506289600179,-0.9314307311747749,-0.9086591566883138,-1.171635868237522,-0.7984900101189258
188,Beijing_Zang_sub30310,-0.7925307813903987,-1.6642770995020335,-0.668059571398899,-0.9809944225625742,-1.0034018611718183
189,Beijing_Zang_sub30556,-1.6761737173147457,-1.1145033859530593,-0.7664859679924785,-0.8095940022508589,-2.077679301518625
190,Beijing_Zang_sub30616,-0.9737291452174464,-0.8560645110771372,-0.6679429090083686,-0.8622849708986481,-1.0264518795752877
191,Beijing_Zang_sub30988,-0.957952847349905,-0.8765778762242724,-0.7000908561525769,-0.8047543658459894,-1.1162063443862107
192,Beijing_Zang_sub31058,-0.900812634986208,-1.4695472006087715,-0.7213477168799063,-0.8332766930657359,-1.3056338636312084
193,Beijing_Zang_sub31729,-1.0805552433600376,-1.2481070154130796,-0.7033379317542141,-0.8189519359136465,-3.780021717770243
194,Beijing_Zang_sub32517,-0.9584307690787919,-1.117932373292133,-0.9422185029984969,-1.9389056658400812,-1.0272637188055018
195,Beijing_Zang_sub32587,-0.8382541461962849,-0.8602360542619578,-2.0860727557771663,-1.071457897106279,-1.0794183006610731
196,Beijing_Zang_sub33747,-1.0014012082215225,-0.8697843643351378,-1.4165845428327368,-0.9207484662331686,-0.8292497216075144
197,Beijing_Zang_sub33943,-1.8694656255005602,-1.2414060833558496,-1.0458857847271026,-0.8195388714789957,-1.4934251329479742
198,Beijing_Zang_sub33991,-1.7020684269067208,-2.0011779839955492,-2.7520593021794464,-0.8190318327819269,-1.770981089437354
199,Beijing_Zang_sub34895,-1.2176773579673743,-0.8471922553699236,-1.0345529112421514,-1.0310902705704221,-1.411879290272922
200,Beijing_Zang_sub34943,-0.9961522252858088,-1.127271683326945,-1.6458824369744214,-0.8398865045666896,-0.8360638463535145
201,Beijing_Zang_sub35309,-0.9191735726540349,-1.8549142170453836,-0.8582488633721808,-1.0650771501725713,-0.7963816266346421
202,Beijing_Zang_sub35776,-0.8999147213852213,-1.6286019968001029,-0.7823660092892308,-0.8932476736615387,-0.7992919066302341
203,Beijing_Zang_sub35806,-3.1926294803906483,-1.6256039280202197,-1.4543000185190589,-0.8177604734987438,-0.9077662856660871
204,Beijing_Zang_sub36580,-0.8175967367571839,-2.004434385235535,-0.6726505543571332,-1.0989174764558818,-0.7873064722130304
205,Beijing_Zang_sub36942,-1.5747752258874301,-1.141702379344242,-1.214658871885323,-1.2969868573700747,-0.8051346526587313
206,Beijing_Zang_sub37602,-3.47254237789119,-1.245046345089004,-1.1182655710473577,-2.223452387238421,-1.1191527505556471
207,Beijing_Zang_sub38602,-0.8857368954780916,-1.0956694395536957,-0.8256805861511977,-0.8295460118698871,-0.9451332041405508
208,Beijing_Zang_sub39725,-0.8622551461502773,-1.2821526785325374,-0.9441647611508257,-1.5305089707798365,-0.8816575065688438
209,Beijing_Zang_sub40037,-0.7965975917222545,-1.9269706235274267,-1.1002610926710925,-0.8270489993989639,-1.1483402012440473
210,Beijing_Zang_sub40427,-0.8139314335244286,-2.7408134317306176,-1.533652946671643,-0.8520728011251936,-0.8118039174336644
211,Beijing_Zang_sub41170,-3.8620480681058003,-1.9088084619334726,-4.230411467060151,-1.8458441951102473,-5.366774721652567
