observations,subject_ids,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
117,Bangor_sub66585,-0.9522463160831314,-1.2597622620821878,-1.4166736795276924,-1.8629614901801448,-0.9002815531402615
118,Bangor_sub68050,-0.9680796556819087,-0.8635512315178683,-0.8141015596344008,-1.5857805082390657,-0.881067871876978
119,Bangor_sub73082,-0.9132288368215974,-1.889674378042471,-0.7502866025236183,-1.0282027078978433,-1.7174462368837455
120,Bangor_sub77520,-0.9034614439786507,-1.0194584740128847,-1.1653681667809794,-0.8791653571371457,-0.8829806205657206
122,Bangor_sub82625,-1.942927058965139,-0.9938548837423425,-1.3582670990104626,-1.1280698069237476,-0.8959966533184373
123,Bangor_sub87568,-0.828618256433126,-1.2227976209356575,-0.9743833744121914,-0.854769236621392,-1.7791827053990086
127,Beijing_Zang_sub01244,-0.860661951346072,-0.8063254303091955,-0.6802657569146572,-0.8875587116386585,-0.7764567073780073
128,Beijing_Zang_sub02403,-0.8630037381684477,-1.3156764798109333,-0.7928586209526877,-2.37878101589684,-1.037856787656597
130,Beijing_Zang_sub04191,-1.6578481661417777,-0.9125389378402697,-0.6345769839799855,-1.33604659777535,-0.7745233214381415
131,Beijing_Zang_sub05267,-0.8087735122934306,-0.9064313082849227,-0.7121174949423746,-1.3291498320010295,-0.8823054307993277
132,Beijing_Zang_sub06880,-1.1484975351839906,-1.724992500852057,-0.8434296737910578,-0.8016512989416923,-1.8930837102939755
134,Beijing_Zang_sub07144,-0.8081962269042405,-1.416927285697707,-1.7950060501216905,-0.8031130182080115,-1.0346115369766844
135,Beijing_Zang_sub07716,-0.8240350221036341,-0.9122501007356502,-3.119183226725344,-0.7988318142906805,-0.8754577379884654
136,Beijing_Zang_sub07717,-0.7782721169724525,-1.1502822720494308,-0.7425120691521978,-1.6522065371877854,-1.1341017847348738
137,Beijing_Zang_sub08001,-0.7964649024903893,-2.532416847590465,-0.7198000827843386,-4.880132399327267,-1.033714546760143
138,Beijing_Zang_sub08251,-0.8496162452809783,-0.8901218590403029,-3.6081583750533466,-0.8795299340269994,-0.9111008780286501
139,Beijing_Zang_sub08455,-1.36968664090403,-1.2053741831389444,-1.6260313887770874,-2.3702854245658114,-5.263020627752483
140,Beijing_Zang_sub08816,-2.512445628944247,-0.861887208587804,-0.8595618927333514,-0.8687222482885535,-0.8393058597208072
142,Beijing_Zang_sub10186,-0.833593405329188,-0.9226974256004136,-1.410800634938623,-3.496014673508187,-0.852427144211932
143,Beijing_Zang_sub10277,-0.8610325617247078,-2.5841218665745505,-3.4565401613473283,-1.1812889615531,-1.1056002349658582
144,Beijing_Zang_sub10869,-0.8801903837646248,-1.2148987257639476,-0.6796332715369625,-0.7982591672453706,-1.1534496475366478
145,Beijing_Zang_sub10973,-1.1315559338548868,-0.959470050407802,-0.7384051556936754,-1.0145457142657646,-1.8892821850203054
146,Beijing_Zang_sub11072,-0.7693262745982598,-1.1471928082909841,-0.860042705868512,-3.1453256372174256,-0.8004180866411882
147,Beijing_Zang_sub11344,-0.7975032996097708,-1.0858338470854332,-0.8288319781486787,-3.3031706774494602,-1.7503040872130329
150,Beijing_Zang_sub15441,-0.7988540827412092,-0.9201554989098178,-0.6603830587486913,-1.4710845245258573,-1.1179796878476378
151,Beijing_Zang_sub16091,-0.774500625586746,-1.9785916490064388,-10.868078608268204,-1.8863085934538313,-1.7497081885784598
152,Beijing_Zang_sub16943,-0.7934643828262186,-0.8008387474238575,-1.637494644013454,-0.8275447472146142,-1.365481151804794
153,Beijing_Zang_sub17093,-1.5631113735352953,-1.142926031379971,-2.2228479797715774,-1.0483664571245543,-2.058779008730329
154,Beijing_Zang_sub17159,-0.8235706505493547,-0.9518607263888345,-0.7453091263166731,-0.8504795876854776,-0.8495899367519982
155,Beijing_Zang_sub17315,-1.2375812073489019,-1.7961449212848963,-1.1522928388563536,-0.8730886275653944,-1.9897041549053098
156,Beijing_Zang_sub17586,-1.1146155745946484,-1.7136260085804536,-0.9822692072859184,-1.5998163598361226,-1.1041593801426184
157,Beijing_Zang_sub17603,-0.8847812719403313,-1.1059415462879865,-0.6391317804571799,-0.9543284738929851,-0.9747407581386859
158,Beijing_Zang_sub17642,-2.415618168908735,-4.1325725819729,-0.643258853277243,-1.5292145539510718,-1.4192160609297584
